Student_ID,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,Stress_Level,Gender,Grades
1,6.9,3.8,8.7,2.8,1.8,Moderate,Male,7.48
2,5.3,3.5,8,4.2,3,Low,Female,6.88
3,5.1,3.9,9.2,1.2,4.6,Low,Male,6.68
4,6.5,2.1,7.2,1.7,6.5,Moderate,Male,7.2
5,8.1,0.6,6.5,2.2,6.6,High,Male,8.78
6,6,2.1,8,0.3,7.6,Moderate,Female,7.12
7,8,0.7,5.3,5.7,4.3,High,Male,7.7
8,8.4,1.8,5.6,3,5.2,High,Male,8
9,5.2,3.6,6.3,4,4.9,Low,Male,7.05
10,7.7,0.7,9.8,4.5,1.3,Moderate,Female,6.9
11,9.7,3.6,8,2.5,0.2,High,Male,8.57
12,6.9,1.1,9.1,2.1,4.8,Moderate,Male,7.42
13,6.4,2.2,5.7,4.8,4.9,High,Male,7.05
14,5,3.3,8.5,4.4,2.8,Low,Male,7.18
15,8.9,0.3,6.8,0.7,7.3,High,Female,8.5
16,6.7,0.3,6.6,2,8.4,Moderate,Male,8
17,8.6,2.6,9.4,1.6,1.8,High,Female,8.4
18,8.8,2.2,8.9,2,2.1,High,Female,7.98
19,7.6,1.7,5.1,0.6,9,High,Female,7.9
20,6.6,2,9.5,1.5,4.4,Moderate,Male,7.32
21,7.1,3,6.1,0.5,7.3,Moderate,Female,7.25
22,9.6,3.2,8.2,2.6,0.4,High,Male,8.35
23,9,0.7,9.5,2.6,2.2,High,Female,8.02
24,6.1,1.7,9.1,5.2,1.9,Moderate,Female,7.12
25,5,2,7.1,1.3,8.6,Low,Female,6.7
26,9.7,1.3,7.6,3.8,1.6,High,Female,8.22
27,6.8,3.9,9.8,0.9,2.6,Moderate,Female,6.6
28,6.4,0.1,8,3,6.5,Moderate,Female,7.38
29,5.3,1.1,9.5,1.4,6.7,Low,Female,6.98
30,9.9,1,8.4,3.6,1.1,High,Female,8.12
31,6.2,2.9,6.8,3.8,4.3,Moderate,Male,7.62
32,5.5,3.3,6.6,1.1,7.5,Low,Male,8.15
33,5.2,2.4,8.4,0.1,7.9,Low,Female,6.18
34,8.2,0.7,8.5,2.3,4.3,High,Female,8.1
35,9.7,0.6,6.7,0.7,6.3,High,Female,9.05
36,9.1,2.2,7.6,1.2,3.9,High,Male,7.8
37,5.5,3.6,9.5,3.4,2,Low,Female,6.45
38,8.6,3.6,9.4,1.9,0.5,High,Male,7.58
39,8.2,0.3,5.8,5.4,4.3,High,Male,8.22
40,5,0.6,7.7,4.2,6.5,Low,Male,6.52
41,8.3,0.9,8.6,1.4,4.8,High,Male,8.7
42,8.2,3.4,8.3,2.3,1.8,High,Male,7.68
43,5.5,1.5,6.3,1.5,9.2,Low,Female,7.02
44,9.5,2.5,9,1.5,1.5,High,Female,8.72
45,7.9,2,6,4.3,3.8,Moderate,Female,7.42
46,9.7,3.8,9.6,0.3,0.6,High,Female,8.88
