"","time","S","L","I","W","R","C","A","Q","M","beta_eff","susceptible","fence","spreaders","non_spreaders"
"1",0,1680000,40000,60000,20000,2e+05,0,0.49,0.415,0,1.13220338983051,1680000,40000,60000,1900000
"2",1,1621544,94713,51212,1956,202436,28139,0.5190265,0.4047605,0,1.20262487899706,1621544,94713,79351,1825936
"3",2,1508993,163067,66161,1249,206864,53666,0.5797405,0.4018005625,0,1.33096807075291,1508993,163067,119827,1717106
"4",3,1330791,265826,93076,1741,214107,94459,0.6813025,0.3981519375,0,1.54536383965086,1330791,265826,187535,1546639
"5",4,1060906,415705,136591,2355,226031,158412,0.8425045,0.393515125,0,1.88663546420871,1060906,415705,295003,1289292
"6",5,710438,591119,199070,3516,244679,251178,1.075372,0.390839375,0,2.37585882980574,710438,591119,450248,958633
"7",6,387502,697935,273551,4885,270499,365628,1.3587685,0.397160375,0,2.94780753246661,387502,697935,639179,662886
"8",7,206321,668837,343330,6417,299948,475147,1.6277155,0.4160515625,0,3.44285398199651,206321,668837,818477,512686
"9",8,136110,569007,401219,7391,328586,557687,1.838359,0.440788375,0,3.78440325700204,136110,569007,958906,472087
"10",9,106729,473801,445154,8532,353679,612105,1.9858885,0.4646155625,0,3.99159577534688,106729,473801,1057259,468940
"11",10,87714,401102,480039,9374,375850,645921,2.08894,0.486019125,0,4.11416077213005,87714,401102,1125960,472938
"12",11,73251,347383,506606,10116,395632,667012,2.160427,0.5052681875,0,4.18078364104177,73251,347383,1173618,478999
"13",12,61580,308479,525722,10653,413332,680234,2.208934,0.52250725,0,4.20991530044631,61580,308479,1205956,485565
"14",13,52343,278669,539867,11018,429684,688419,2.242429,0.5384644375,0,4.21531769373709,52343,278669,1228286,493045
"15",14,45367,256010,549120,11207,444557,693739,2.2642885,0.5529959375,0,4.20452455387893,45367,256010,1242859,501131
"16",15,40461,237534,554711,11549,458595,697150,2.2777915,0.5668983125,0,4.18122113855001,40461,237534,1251861,510605
"17",16,37113,222278,557574,11699,471891,699445,2.2855285,0.5800600625,0,4.15073267108471,37113,222278,1257019,520703
"18",17,34637,209818,558236,11748,484470,701091,2.2889905,0.5925088125,0,4.11574546392569,34637,209818,1259327,530855
"19",18,32797,199352,557382,11789,496400,702280,2.289493,0.6043443125,0,4.07828992166947,32797,199352,1259662,540986
"20",19,31938,190616,554526,11777,507892,703251,2.2866655,0.615776625,0,4.03708358904369,31938,190616,1257777,551607
"21",20,31347,182950,551097,11663,518912,704031,2.282692,0.6267026875,0,3.99622045320291,31347,182950,1255128,561922
"22",21,31101,176830,546147,11661,529555,704706,2.2762795,0.6373293125,0,3.95283547573567,31101,176830,1250853,572317
"23",22,30517,171635,541144,11596,539783,705325,2.2697035,0.6474883125,0,3.91126955964209,30517,171635,1246469,581896
"24",23,30555,166652,535499,11547,549868,705879,2.262067,0.6575511875,0,3.86886043753784,30555,166652,1241378,591970
"25",24,30581,162193,529693,11358,559782,706393,2.254129,0.6673723125,0,3.82728731798832,30581,162193,1236086,601721
"26",25,30621,158318,523408,11283,569418,706952,2.24554,0.6769733125,0,3.78587623585119,30621,158318,1230360,611322
"27",26,31063,154997,516677,11011,578805,707447,2.236186,0.6862519375,0,3.74470116019082,31063,154997,1224124,620879
"28",27,30503,151620,510617,11162,588176,707922,2.2278085,0.6956634375,0,3.70530266579877,30503,151620,1218539,629841
"29",28,30979,148851,503732,10799,597196,708443,2.2182625,0.7045316875,0,3.6660226081745,30979,148851,1212175,638974
"30",29,31238,146173,496435,10930,606289,708935,2.208055,0.713706375,0,3.62538785937485,31238,146173,1205370,648457
"31",30,31290,143422,489778,10800,615267,709443,2.1988315,0.722622625,0,3.58751485134351,31290,143422,1199221,657357
"32",31,31496,141491,482371,10742,624001,709899,2.188405,0.7313405,0,3.54873550362105,31496,141491,1192270,666239
"33",32,31692,139275,475726,10409,632540,710358,2.179126,0.73972525,0,3.51306332759426,31692,139275,1186084,674641
"34",33,31722,136982,469033,10417,641065,710781,2.169721,0.748256125,0,3.47725889754821,31722,136982,1179814,683204
"35",34,31748,135183,462114,10247,649490,711218,2.159998,0.75659775,0,3.44184974295887,31748,135183,1173332,691485
"36",35,32004,133030,455332,10182,657753,711699,2.1505465,0.76484425,0,3.40749686912971,32004,133030,1167031,699939
"37",36,31601,131201,449205,9838,666052,712103,2.141962,0.7729460625,0,3.37520151650738,31601,131201,1161308,707491
"38",37,31987,128896,442551,9866,674205,712495,2.132569,0.7811371875,0,3.34183284064507,31987,128896,1155046,716058
"39",38,32101,127036,436179,9595,682183,712906,2.1236275,0.7889868125,0,3.31029825135667,32101,127036,1149085,723879
"40",39,31864,125162,429733,9674,690213,713354,2.1146305,0.7970415,0,3.27855912534477,31864,125162,1143087,731751
"41",40,32167,123426,423120,9566,697940,713781,2.1053515,0.8047334375,0,3.24754630174024,32167,123426,1136901,739673
"42",41,31764,122240,416636,9503,705660,714197,2.0962495,0.81239675,0,3.21718157115305,31764,122240,1130833,746927
"43",42,31672,120526,410564,9287,713326,714625,2.0877835,0.819949,0,3.188309172938,31672,120526,1125189,754285
"44",43,31673,118979,404189,9255,720876,715028,2.0788255,0.8274830625,0,3.15904268128416,31673,118979,1119217,761804
"45",44,31561,117146,398399,9059,728430,715405,2.070706,0.8349320625,0,3.13147565679962,31561,117146,1113804,769050
"46",45,31620,115786,392152,8801,735836,715805,2.0619355,0.84221275,0,3.10357787039863,31620,115786,1107957,776257
"47",46,31256,114365,386301,8821,743100,716157,2.053687,0.849464,0,3.07676519526022,31256,114365,1102458,783177
"48",47,31389,112864,380091,8899,750252,716505,2.044894,0.8566633125,0,3.04952540171758,31389,112864,1096596,790540
"49",48,31246,111282,374269,8755,757572,716876,2.0367175,0.863902375,0,3.02334951295484,31246,111282,1091145,797573
"50",49,31622,109402,368687,8459,764603,717227,2.028871,0.870808875,0,2.99854062177087,31622,109402,1085914,804684
"51",50,31432,108032,363062,8380,771512,717582,2.020966,0.8776665,0,2.97396440470153,31432,108032,1080644,811324
"52",51,31232,106749,357649,8101,778326,717943,2.013388,0.8843285,0,2.95044134566936,31232,106749,1075592,817659
"53",52,30965,105241,352200,8135,785180,718279,2.0057185,0.8911828125,0,2.92662893792892,30965,105241,1070479,824280
"54",53,30854,103465,347092,7974,792001,718614,1.998559,0.897916375,0,2.90396632563953,30854,103465,1065706,830829
"55",54,30662,101852,342103,7846,798639,718898,1.9915015,0.904478375,0,2.88195541887298,30662,101852,1061001,837147
"56",55,30513,100699,336766,7758,805056,719208,1.983961,0.9108420625,0,2.85981356759265,30513,100699,1055974,843327
"57",56,30556,99103,331550,7745,811498,719548,1.976647,0.91728025,0,2.83803075681777,30556,99103,1051098,849799
"58",57,30352,98260,326078,7545,817883,719882,1.96894,0.9235525,0,2.81617450005581,30352,98260,1045960,855780
"59",58,30341,96880,320771,7639,824162,720207,1.961467,0.9298778125,0,2.79471954893208,30341,96880,1040978,862142
"60",59,30019,95925,315894,7398,830258,720506,1.9546,0.9358331875,0,2.77490612876161,30019,95925,1036400,867675
"61",60,30038,94726,310653,7474,836296,720813,1.947199,0.941910375,0,2.75430044810049,30038,94726,1031466,873808
"62",61,30041,93258,305756,7366,842469,721110,1.940299,0.9480295625,0,2.7344613723074,30041,93258,1026866,879876
"63",62,29726,91978,301382,7081,848448,721385,1.9341505,0.953846375,0,2.7162988840494,29726,91978,1022767,885255
"64",63,29443,90691,296841,7068,854309,721648,1.9277335,0.9596831875,0,2.69786992966215,29443,90691,1018489,890820
"65",64,29387,89181,292517,6769,860228,721918,1.9216525,0.9654491875,0,2.68014194917561,29387,89181,1014435,896384
"66",65,29058,87812,287968,6746,866233,722183,1.9152265,0.971422125,0,2.66173908816654,29058,87812,1010151,902037
"67",66,28580,86620,283748,6627,871976,722449,1.9092955,0.97707575,0,2.64464597529956,28580,86620,1006197,907183
"68",67,28624,84967,279321,6619,877733,722736,1.9030855,0.9828315,0,2.62713524285012,28624,84967,1002057,912976
"69",68,28579,83711,275072,6428,883195,723015,1.8971305,0.9881951875,0,2.61070357975123,28579,83711,998087,918202
"70",69,28130,82691,270775,6403,888712,723289,1.891096,0.993671625,0,2.59409656952691,28130,82691,994064,923245
"71",70,27852,81543,266711,6213,894154,723527,1.885357,0.99900125,0,2.57821623607947,27852,81543,990238,928219
"72",71,27735,80041,262691,6170,899577,723786,1.8797155,1.0043954375,0,2.56246656302583,27735,80041,986477,933482
"73",72,27810,78720,258489,6146,904811,724024,1.8737695,1.009622125,0,2.54667309588237,27810,78720,982513,938767
"74",73,27550,77653,254265,6220,910045,724267,1.867798,1.014876875,0,2.53090221050625,27550,77653,978532,943815
"75",74,27485,76580,250309,5978,915159,724489,1.862197,1.0198658125,0,2.51610930657169,27485,76580,974798,948622
"76",75,27261,75587,246378,5852,920190,724732,1.856665,1.0248198125,0,2.50154507220849,27261,75587,971110,953303
"77",76,26913,74451,242673,5755,925262,724946,1.8514285,1.0298215625,0,2.48737910120336,26913,74451,967619,957930
"78",77,26688,73304,238877,5742,930213,725176,1.8460795,1.034752,0,2.47325461340497,26688,73304,964053,962643
"79",78,26155,72525,235096,5730,935073,725421,1.8407755,1.0395726875,0,2.45942795564939,26155,72525,960517,966958
"80",79,26245,71299,231376,5522,939940,725618,1.835491,1.0443413125,0,2.44577869748148,26245,71299,956994,971707
"81",80,25994,70287,227798,5422,944668,725831,1.8304435,1.049003625,0,2.43265992710769,25994,70287,953629,976084
"82",81,25797,69003,224334,5392,949404,726070,1.825606,1.0537123125,0,2.41981558544919,25797,69003,950404,980593
"83",82,25605,67707,220984,5284,954133,726287,1.8209065,1.0583753125,0,2.40728110783294,25605,67707,947271,985022
"84",83,25664,66675,217245,5279,958629,726508,1.8156295,1.0628725,0,2.39430921627967,25664,66675,943753,989572
"85",84,25321,65780,213804,5170,963203,726722,1.810789,1.0673705625,0,2.38195720206747,25321,65780,940526,993694
"86",85,25148,64726,210419,5156,967631,726920,1.8060085,1.07178075,0,2.36986481567916,25148,64726,937339,997935
"87",86,24991,63943,206927,5033,971972,727134,1.8010915,1.0760504375,0,2.35785140160861,24991,63943,934061,1001996
"88",87,24764,62981,203698,5048,976179,727330,1.796542,1.08025075,0,2.34645268720726,24764,62981,931028,1005991
"89",88,24811,61779,200583,4893,980400,727534,1.7921755,1.0843971875,0,2.33541041746467,24811,61779,928117,1010104
"90",89,24791,60776,197339,4762,984605,727727,1.787599,1.0885354375,0,2.32416794452481,24791,60776,925066,1014158
"91",90,24454,59889,194376,4715,988658,727908,1.783426,1.092543875,0,2.31365363625583,24454,59889,922284,1017827
"92",91,24166,58807,191495,4666,992779,728087,1.779373,1.096622375,0,2.30324533907834,24166,58807,919582,1021611
